name,average
Chad,43.29999923706055
Fiji,36.70000076293945
Iraq,29.5
Peru,44.30000032697405
Togo,44.54999923706055
Benin,45.60000038146973
Chile,47.53333282470703
China,42.20000076293945
Gabon,38.0
Ghana,42.400001525878906
Haiti,41.099998474121094
India,35.099998474121094
Italy,35.000000635782875
Kenya,40.79999923706055
Malta,29.116666475931805
Nepal,32.79999923706055
Niger,32.89999961853027
Spain,35.800000508626304
Bhutan,38.10000038146973
Brazil,52.21999969482422
Canada,33.79999923706055
Cyprus,34.16666603088379
France,32.93333307902018
Greece,35.499999364217125
Guinea,33.70000076293945
Israel,42.0
Jordan,33.70000076293945
Kosovo,28.08571379525321
Latvia,35.13333320617676
Malawi,45.5
Mexico,44.97500038146973
Norway,26.233333269755047
Panama,51.17142868041992
Rwanda,46.14999961853027
Sweden,28.21666685740153
Turkey,40.74285779680525
Tuvalu,39.099998474121094
Uganda,41.89999961853027
Zambia,56.349998474121094
Albania,29.0
Algeria,27.600000381469727
Armenia,30.85714312962123
Austria,30.56666628519694
Belarus,27.114286150251115
Belgium,27.916666984558105
Bolivia,46.56666564941406
Burundi,38.599998474121094
Comoros,45.29999923706055
Croatia,32.06666660308838
Denmark,27.89999993642171
Ecuador,46.22857175554548
Estonia,33.29999987284342
Finland,27.250000317891438
Georgia,38.142857142857146
Germany,30.875000476837158
Hungary,30.366666475931805
Iceland,26.599999618530273
Ireland,32.600000063578285
Lao PDR,36.400001525878906
Lebanon,31.799999237060547
Lesotho,54.20000076293945
Liberia,33.20000076293945
Moldova,28.64285687037877
Morocco,39.5
Myanmar,38.099998474121094
Namibia,59.099998474121094
Romania,36.11666742960612
Senegal,40.29999923706055
Tunisia,35.79999923706055
Ukraine,24.742857251848495
Uruguay,41.014286041259766
Vanuatu,37.599998474121094
Vietnam,36.249999046325684
Bulgaria,36.0
Cameroon,46.599998474121094
Colombia,52.69999967302595
Djibouti,44.599998474121094
Ethiopia,36.14999961853027
Honduras,52.57142802647182
Malaysia,42.06666692097982
Mongolia,33.01999969482422
Pakistan,31.22499990463257
Paraguay,49.285714285714285
Portugal,35.89999961853027
Slovenia,25.450000127156574
Tanzania,37.79999923706055
Thailand,37.833333333333336
Zimbabwe,43.20000076293945
Argentina,41.88333384195963
Australia,34.70000076293945
Guatemala,48.29999923706055
Indonesia,39.5
Lithuania,35.266666412353516
Mauritius,35.79999923706055
Nicaragua,46.20000076293945
Sri Lanka,39.5
Bangladesh,32.25
Costa Rica,48.642857142857146
Kazakhstan,27.516666730244953
Luxembourg,32.31666628519694
Madagascar,42.5
Mauritania,32.599998474121094
Montenegro,31.25999984741211
Mozambique,54.0
Seychelles,46.79999923706055
Tajikistan,34.0
El Salvador,41.88571384974888
Netherlands,28.000000317891438
Switzerland,32.19999980926514
Timor-Leste,28.700000762939453
Burkina Faso,35.29999923706055
Sierra Leone,34.0
South Africa,63.20000076293945
"Congo, Rep.",48.900001525878906
"Gambia, The",39.75
"Korea, Rep.",31.800000190734863
"Yemen, Rep.",36.70000076293945
Cote d'Ivoire,41.5
Guinea-Bissau,50.70000076293945
United States,40.96666717529297
Czech Republic,26.233333269755047
United Kingdom,33.38333384195963
Kyrgyz Republic,28.099999564034597
Slovak Republic,26.766666730244953
Solomon Islands,37.099998474121094
"Macedonia, FYR",38.25999984741211
"Congo, Dem. Rep.",42.099998474121094
"Egypt, Arab Rep.",31.03333282470703
Dominican Republic,45.857142857142854
Russian Federation,39.73333422342936
West Bank and Gaza,34.46666717529297
"Iran, Islamic Rep.",38.10000038146973
Sao Tome and Principe,30.799999237060547
Bosnia and Herzegovina,32.85000038146973
"Micronesia, Fed. Sts.",40.099998474121094
